,id,text,created_at,user_id,followers_count,friends_count,favourites_count,retweet_count,grammartext,clean_text,user_neg_mean,user_neu_mean,user_pos_mean,user_comp_mean,user_arts_&_culture_mean,user_business_&_entrepreneurs_mean,user_celebrity_&_pop_culture_mean,user_diaries_&_daily_life_mean,user_family_mean,user_fashion_&_style_mean,user_film_tv_&_video_mean,user_fitness_&_health_mean,user_food_&_dining_mean,user_gaming_mean,user_learning_&_educational_mean,user_music_mean,user_news_&_social_concern_mean,user_other_hobbies_mean,user_relationships_mean,user_science_&_technology_mean,user_sports_mean,user_travel_&_adventure_mean,user_youth_&_student_life_mean,user_hateful_mean,user_targeted_mean,user_aggressive_mean,user_joy_mean,user_sadness_mean,user_others_mean,user_anger_mean,user_surprise_mean,user_disgust_mean,user_fear_mean,user_Kincaid_mean,user_ARI_mean,user_Coleman-Liau_mean,user_FleschReadingEase_mean,user_GunningFogIndex_mean,user_LIX_mean,user_SMOGIndex_mean,user_RIX_mean,user_DaleChallIndex_mean,user_characters_per_word_mean,user_syll_per_word_mean,user_words_per_sentence_mean,user_sentences_per_paragraph_mean,user_type_token_ratio_mean,user_characters_mean,user_syllables_mean,user_words_mean,user_wordtypes_mean,user_sentences_mean,user_paragraphs_mean,user_long_words_mean,user_complex_words_mean,user_complex_words_dc_mean,user_sentiment_mode,user_topic_mode,politeness
0,1553430755128254465,Comienzo con una conferencia gratuita el próximo martes 9 de agosto #BookLoversDay para hablar sobre las nuevas for… https://t.co/xExVBics8u,2022-07-30 17:22:08+00:00,146618784,20,17,15199,0,Comienzo con una conferencia gratuita el pr ximo martes 9 de agosto BookLoversDay para hablar sobre las nuevas for,comienzo con una conferencia gratuita el pr ximo martes de agosto bookloversday para hablar sobre las nuevas for,0.0,1.0,0.0,0.0,0.6095538139343262,0.0101977661252021,0.0219826372340321,0.3210715353488922,0.069888787344098,0.0066318702884018,0.0296893324702978,0.0063868237193673,0.0066617261618375,0.0064205180387943,0.2972968965768814,0.0085601448081433,0.0391873903572559,0.1994907557964325,0.0733331367373466,0.0065972164738923,0.005441095912829,0.025466825813055,0.046821903437376,0.0035132068072065,0.0013115670775102,0.0005162041035564,0.8209323883056641,0.0017461078241467,0.1696929410099983,0.0023055501515045,0.0023065044078975,0.0016381702153012,0.0013783848844468,13.912222222222224,11.332166666666666,11.677575883333338,29.16000000000001,19.15555555555556,42.61111111111112,15.831928289457316,4.5,19.535538888888887,4.938888888888888,1.8722222222222225,19.0,1.0,0.975,93.5,35.5,19.0,18.5,1.0,1.0,4.5,5.5,18.0,neutral,0.0,0.27827728
1,1553442916500127746,RT @MarlynCamachoR: El próximo #BookLoversDay lo celebro con una conferencia donde respondo cómo leemos y cómo conectamos con la lectura en…,2022-07-30 18:10:27+00:00,321482594,290,1174,385,2,El pr ximo BookLoversDay lo celebro con una conferencia donde respondo c mo leemos y c mo conectamos con la lectura en,el pr ximo bookloversday lo celebro con una conferencia donde respondo c mo leemos y c mo conectamos con la lectura en,0.0,1.0,0.0,0.0,0.2262855768203735,0.0075384243391454,0.0456423759460449,0.7180951237678528,0.1061884611845016,0.006869439035654,0.0454673618078231,0.0047177667729556,0.0041310498490929,0.006153764668852,0.1001139506697654,0.0037381786387413,0.0365940444171428,0.1393987238407135,0.3662703931331634,0.0031947919633239,0.0080084698274731,0.0130389230325818,0.0395595356822013,0.0036128806744321,0.0013233644898088,0.0004390733649106,0.7030003070831299,0.0021224962547421,0.2864721417427063,0.002707646228373,0.0022609471343457,0.0019873883575201,0.0014490900794044,13.37181818181818,10.33681818181818,8.779117227272728,38.37772727272728,19.709090909090907,49.27272727272727,16.41640786499874,6.0,20.5177,4.409090909090909,1.7272727272727273,22.0,1.0,0.8636363636363636,97.0,38.0,22.0,19.0,1.0,1.0,6.0,6.0,22.0,neutral,3.0,0.5505448
2,1553494059532042240,RT @MarlynCamachoR: El próximo #BookLoversDay lo celebro con una conferencia donde respondo cómo leemos y cómo conectamos con la lectura en…,2022-07-30 21:33:40+00:00,146952830,400,790,28648,2,El pr ximo BookLoversDay lo celebro con una conferencia donde respondo c mo leemos y c mo conectamos con la lectura en,el pr ximo bookloversday lo celebro con una conferencia donde respondo c mo leemos y c mo conectamos con la lectura en,0.0,1.0,0.0,0.0,0.2262855768203735,0.0075384243391454,0.0456423759460449,0.7180951237678528,0.1061884611845016,0.006869439035654,0.0454673618078231,0.0047177667729556,0.0041310498490929,0.006153764668852,0.1001139506697654,0.0037381786387413,0.0365940444171428,0.1393987238407135,0.3662703931331634,0.0031947919633239,0.0080084698274731,0.0130389230325818,0.0395595356822013,0.0036128806744321,0.0013233644898088,0.0004390733649106,0.7030003070831299,0.0021224962547421,0.2864721417427063,0.002707646228373,0.0022609471343457,0.0019873883575201,0.0014490900794044,13.37181818181818,10.33681818181818,8.779117227272728,38.37772727272728,19.709090909090907,49.27272727272727,16.41640786499874,6.0,20.5177,4.409090909090909,1.7272727272727273,22.0,1.0,0.8636363636363636,97.0,38.0,22.0,19.0,1.0,1.0,6.0,6.0,22.0,neutral,3.0,0.5505448
3,1553813912520384512,"A big day in the book world is coming up, National Book Lover Day! While it isn't until the 9th, we decided to take… https://t.co/5p9gXLKniO",2022-07-31 18:44:39+00:00,1957570860,1379,3375,4067,2,A big day in the book world is coming up National Book Lover Day While it isn t until the 9th we decided to take,a big day in the book world is coming up national book lover day while it isn t until the th we decided to take,0.0,0.853,0.147,0.5859,0.626554548740387,0.011923648416996,0.014343662187457,0.0889376252889633,0.0211019869893789,0.0039983843453228,0.0165257658809423,0.0069983154535293,0.0121939145028591,0.0048233224079012,0.2929423153400421,0.0188642796128988,0.198181003332138,0.1182852163910865,0.0108076920732855,0.0157336313277483,0.0076240058988332,0.0328857079148292,0.0226284600794315,0.0027778899159833,0.0013453930626662,0.0009240751952947,0.9647589325904846,0.0011252292897552,0.0271213501691818,0.0018889665370807,0.0029006651602685,0.0009686683770269,0.0012360552791506,6.904,7.460799999999999,3.477586280000004,90.092,13.2,33.0,10.745966692414834,2.0,8.034500000000001,3.48,1.08,25.0,1.0,0.88,87.0,27.0,25.0,22.0,1.0,1.0,2.0,2.0,5.0,positive,0.0,0.7225362
4,1553815007871262721,"RT @FitgersBooks: A big day in the book world is coming up, National Book Lover Day! While it isn't until the 9th, we decided to take the w…",2022-07-31 18:49:01+00:00,244964328,2472,2264,190459,2,A big day in the book world is coming up National Book Lover Day While it isn t until the 9th we decided to take the w,a big day in the book world is coming up national book lover day while it isn t until the th we decided to take the w,0.0,0.858,0.142,0.5859,0.6314306855201721,0.0116177834570407,0.0146396914497017,0.0906272605061531,0.0209335908293724,0.0040542590431869,0.0164137538522481,0.0069556948728859,0.0123140253126621,0.0047821933403611,0.2910330891609192,0.0195816103368997,0.2159669697284698,0.118363045156002,0.010918510146439,0.0151344593614339,0.0075245695188641,0.0332044214010238,0.0228923149406909,0.0027697152320846,0.0014264237145931,0.0008388265834273,0.973520815372467,0.0012493032263591,0.0179415456950664,0.0020188882481306,0.0030427575111389,0.0010306496405974,0.00119606370572,6.740000000000002,7.944444444444443,2.9206464074074105,94.83,13.762962962962964,34.407407407407405,10.745966692414834,2.0,8.484588888888888,3.3703703703703702,1.0,27.0,1.0,0.8518518518518519,91.0,27.0,27.0,23.0,1.0,1.0,2.0,2.0,6.0,positive,0.0,0.8886633
5,1553834192739475457,"Promote your #book in time!
INTERNATIONAL BOOK LOVERS DAY
When - Tuesday, August 9th
#Readers Across The Globe Will… https://t.co/nHr4UE3hAh",2022-07-31 20:05:15+00:00,2892463432,19407,20270,3626,1,Promote your book in time INTERNATIONAL BOOK LOVERS DAY When Tuesday August 9th Readers Across The Globe Will,promote your book in time international book lovers day when tuesday august th readers across the globe will,0.0531578947368421,0.7637894736842107,0.1830526315789474,0.3471631578947368,0.3440723919162625,0.0833624157760488,0.0606209266146546,0.2260125665680358,0.0805085393306064,0.0156695278312422,0.1156553516262456,0.0221245120720643,0.0134637365117669,0.0088416687764325,0.4060682578894652,0.0175156664887541,0.1605766975860062,0.0909896260617594,0.0774540259551845,0.0243737760465592,0.0146385681766428,0.0948235878328743,0.1179172882540641,0.0025817202708009,0.0016973964782225,0.0008419656796905,0.3033792906881947,0.0019034065159135,0.6729583192224565,0.0016064960907801,0.0157745933699372,0.0023072226536705,0.0020706714437294,7.86476206307651,9.068930106313609,9.3104025289708,70.8298548608868,10.50158252889158,35.60586461872496,8.383496145159866,3.1052631578947367,9.52534890768429,4.558941468543508,1.3910369277361898,18.05263157894737,1.0,0.9495788732611355,81.47368421052632,24.84210526315789,18.05263157894737,17.105263157894736,1.0,1.0,3.1052631578947367,1.4210526315789471,5.578947368421052,positive,10.0,0.14340584
6,1554124603223846912,"RT @GabrielBlake_: Try these spine-chilling books from Gabriel Blake. If you love gripping psychological thrillers, then don't miss out on…",2022-08-01 15:19:14+00:00,893460901470154752,10267,8753,75672,475,Try these spine chilling books from Gabriel Blake If you love gripping psychological thrillers then don t miss out on,try these spine chilling books from gabriel blake if you love gripping psychological thrillers then don t miss out on,0.117,0.652,0.23,0.5574,0.7322230339050293,0.0236513651907444,0.0131372055038809,0.137747585773468,0.0534668117761611,0.0087418463081121,0.1424155533313751,0.014222907833755,0.0243110172450542,0.0112946005538105,0.4282175898551941,0.0100988149642944,0.0158101916313171,0.1328369826078415,0.0232158135622739,0.0271019544452428,0.0090926168486475,0.061113491654396,0.0526243261992931,0.0022309502449437,0.0014922374869735,0.0011304483615876,0.8431038856506348,0.0009501200402155,0.1426976472139358,0.0014741163467988,0.0092285154387354,0.001146049820818,0.0013996087945997,8.140000000000004,11.649,11.531101900000005,72.32500000000002,10.0,45.0,8.477225575051662,5.0,12.5235,4.9,1.35,20.0,1.0,1.0,98.0,27.0,20.0,20.0,1.0,1.0,5.0,1.0,10.0,positive,0.0,0.40261522
7,1554200390974980099,"Experiencing the world through Chris Maltby’s lens is an amazing experience!

Get your copy here...… https://t.co/KxcOA7lJlP",2022-08-01 20:20:23+00:00,2892463432,19407,20270,3626,0,Experiencing the world through Chris Maltby s lens is an amazing experience Get your copy here,experiencing the world through chris maltby s lens is an amazing experience get your copy here,0.0531578947368421,0.7637894736842107,0.1830526315789474,0.3471631578947368,0.3440723919162625,0.0833624157760488,0.0606209266146546,0.2260125665680358,0.0805085393306064,0.0156695278312422,0.1156553516262456,0.0221245120720643,0.0134637365117669,0.0088416687764325,0.4060682578894652,0.0175156664887541,0.1605766975860062,0.0909896260617594,0.0774540259551845,0.0243737760465592,0.0146385681766428,0.0948235878328743,0.1179172882540641,0.0025817202708009,0.0016973964782225,0.0008419656796905,0.3033792906881947,0.0019034065159135,0.6729583192224565,0.0016064960907801,0.0157745933699372,0.0023072226536705,0.0020706714437294,7.86476206307651,9.068930106313609,9.3104025289708,70.8298548608868,10.50158252889158,35.60586461872496,8.383496145159866,3.1052631578947367,9.52534890768429,4.558941468543508,1.3910369277361898,18.05263157894737,1.0,0.9495788732611355,81.47368421052632,24.84210526315789,18.05263157894737,17.105263157894736,1.0,1.0,3.1052631578947367,1.4210526315789471,5.578947368421052,positive,10.0,1.0123606
8,1554207259655393288,"Naughty Nata 
by Donna Deal 

⭐️⭐️⭐️⭐️⭐️ RATED!

THIS WILL HAVE YOU HOOKED...

https://t.co/NXtxUXTSXK

#book… https://t.co/RXtAgY31wK",2022-08-01 20:47:41+00:00,2892463432,19407,20270,3626,0,Naughty Nata by Donna Deal RATED THIS WILL HAVE YOU HOOKED book,naughty nata by donna deal rated this will have you hooked book,0.0531578947368421,0.7637894736842107,0.1830526315789474,0.3471631578947368,0.3440723919162625,0.0833624157760488,0.0606209266146546,0.2260125665680358,0.0805085393306064,0.0156695278312422,0.1156553516262456,0.0221245120720643,0.0134637365117669,0.0088416687764325,0.4060682578894652,0.0175156664887541,0.1605766975860062,0.0909896260617594,0.0774540259551845,0.0243737760465592,0.0146385681766428,0.0948235878328743,0.1179172882540641,0.0025817202708009,0.0016973964782225,0.0008419656796905,0.3033792906881947,0.0019034065159135,0.6729583192224565,0.0016064960907801,0.0157745933699372,0.0023072226536705,0.0020706714437294,7.86476206307651,9.068930106313609,9.3104025289708,70.8298548608868,10.50158252889158,35.60586461872496,8.383496145159866,3.1052631578947367,9.52534890768429,4.558941468543508,1.3910369277361898,18.05263157894737,1.0,0.9495788732611355,81.47368421052632,24.84210526315789,18.05263157894737,17.105263157894736,1.0,1.0,3.1052631578947367,1.4210526315789471,5.578947368421052,positive,10.0,0.18489535
9,1554332322027405312,RT @kingsenglishdpt: As it is #BookLoversDay it is quite appropriate we added two more book reviews to the blog this morning ☺️📚 https://t.…,2022-08-02 05:04:38+00:00,2744039040,768,5002,185474,1,As it is BookLoversDay it is quite appropriate we added two more book reviews to the blog this morning,as it is bookloversday it is quite appropriate we added two more book reviews to the blog this morning,0.0,1.0,0.0,0.0,0.5289638638496399,0.0305884964764118,0.0120089063420891,0.254003494977951,0.0327382646501064,0.00728694582358,0.0176933594048023,0.0072058369405567,0.0245067942887544,0.0053498186171054,0.4270586371421814,0.0081804702058434,0.0341919623315334,0.1890053153038025,0.0214447751641273,0.0160669162869453,0.0061939707957208,0.0831446573138237,0.043264452368021,0.0026902813327118,0.0013677559803278,0.0009487477929414,0.4490573406219482,0.0018662457587197,0.5369610786437988,0.0015432132640853,0.007298294454813,0.0013715645764023,0.0019022630294784,7.967368421052633,8.893157894736845,8.637101473684211,71.78157894736843,11.810526315789474,40.05263157894737,10.745966692414834,4.0,8.734163157894738,4.421052631578948,1.368421052631579,19.0,1.0,0.8947368421052632,84.0,26.0,19.0,17.0,1.0,1.0,4.0,2.0,5.0,neutral,0.0,0.6935262
