id,text,created_at,user_id,followers_count,friends_count,favourites_count,retweet_count,grammartext,clean_text,user_neg_mean,user_neu_mean,user_pos_mean,user_comp_mean,user_arts_&_culture_mean,user_business_&_entrepreneurs_mean,user_celebrity_&_pop_culture_mean,user_diaries_&_daily_life_mean,user_family_mean,user_fashion_&_style_mean,user_film_tv_&_video_mean,user_fitness_&_health_mean,user_food_&_dining_mean,user_gaming_mean,user_learning_&_educational_mean,user_music_mean,user_news_&_social_concern_mean,user_other_hobbies_mean,user_relationships_mean,user_science_&_technology_mean,user_sports_mean,user_travel_&_adventure_mean,user_youth_&_student_life_mean,user_hateful_mean,user_targeted_mean,user_aggressive_mean,user_joy_mean,user_sadness_mean,user_others_mean,user_anger_mean,user_surprise_mean,user_disgust_mean,user_fear_mean,user_Kincaid_mean,user_ARI_mean,user_Coleman-Liau_mean,user_FleschReadingEase_mean,user_GunningFogIndex_mean,user_LIX_mean,user_SMOGIndex_mean,user_RIX_mean,user_DaleChallIndex_mean,user_characters_per_word_mean,user_syll_per_word_mean,user_words_per_sentence_mean,user_sentences_per_paragraph_mean,user_type_token_ratio_mean,user_characters_mean,user_syllables_mean,user_words_mean,user_wordtypes_mean,user_sentences_mean,user_paragraphs_mean,user_long_words_mean,user_complex_words_mean,user_complex_words_dc_mean,user_sentiment_mode,user_topic_mode
1553430755128254465,Comienzo con una conferencia gratuita el próximo martes 9 de agosto #BookLoversDay para hablar sobre las nuevas for… https://t.co/xExVBics8u,2022-07-30 17:22:08+00:00,146618784,20,17,15199,0,Comienzo con una conferencia gratuita el pr ximo martes 9 de agosto BookLoversDay para hablar sobre las nuevas for,comienzo con una conferencia gratuita el pr ximo martes de agosto bookloversday para hablar sobre las nuevas for,0.0,1.0,0.0,0.0,0.6095538139343262,0.010197766125202179,0.021982637234032154,0.3210715353488922,0.06988878734409809,0.006631870288401842,0.029689332470297813,0.006386823719367385,0.006661726161837578,0.006420518038794398,0.2972968965768814,0.008560144808143377,0.039187390357255936,0.1994907557964325,0.07333313673734665,0.006597216473892331,0.0054410959128290415,0.02546682581305504,0.04682190343737602,0.0035132068072065026,0.0013115670775102005,0.0005162041035564203,0.8209323883056641,0.0017461078241467476,0.16969294100999832,0.002305550151504576,0.0023065044078975916,0.0016381702153012156,0.0013783848844468594,13.912222222222224,11.332166666666666,11.677575883333338,29.16000000000001,19.15555555555556,42.611111111111114,15.831928289457315,4.5,19.535538888888887,4.938888888888888,1.8722222222222222,19.0,1.0,0.975,93.5,35.5,19.0,18.5,1.0,1.0,4.5,5.5,18.0,neutral,0.0
1553442916500127746,RT @MarlynCamachoR: El próximo #BookLoversDay lo celebro con una conferencia donde respondo cómo leemos y cómo conectamos con la lectura en…,2022-07-30 18:10:27+00:00,321482594,290,1174,385,2,El pr ximo BookLoversDay lo celebro con una conferencia donde respondo c mo leemos y c mo conectamos con la lectura en,el pr ximo bookloversday lo celebro con una conferencia donde respondo c mo leemos y c mo conectamos con la lectura en,0.0,1.0,0.0,0.0,0.22628557682037354,0.007538424339145422,0.04564237594604492,0.7180951237678528,0.10618846118450165,0.006869439035654068,0.04546736180782318,0.004717766772955656,0.00413104984909296,0.006153764668852091,0.10011395066976547,0.003738178638741374,0.03659404441714287,0.1393987238407135,0.36627039313316345,0.0031947919633239508,0.008008469827473164,0.013038923032581806,0.039559535682201385,0.0036128806744321496,0.0013233644898088203,0.0004390733649106283,0.7030003070831299,0.0021224962547421455,0.2864721417427063,0.0027076462283730507,0.00226094713434577,0.0019873883575201035,0.0014490900794044137,13.371818181818181,10.336818181818181,8.779117227272728,38.377727272727284,19.709090909090907,49.27272727272727,16.41640786499874,6.0,20.517699999999998,4.409090909090909,1.7272727272727273,22.0,1.0,0.8636363636363636,97.0,38.0,22.0,19.0,1.0,1.0,6.0,6.0,22.0,neutral,3.0
1553494059532042240,RT @MarlynCamachoR: El próximo #BookLoversDay lo celebro con una conferencia donde respondo cómo leemos y cómo conectamos con la lectura en…,2022-07-30 21:33:40+00:00,146952830,400,790,28648,2,El pr ximo BookLoversDay lo celebro con una conferencia donde respondo c mo leemos y c mo conectamos con la lectura en,el pr ximo bookloversday lo celebro con una conferencia donde respondo c mo leemos y c mo conectamos con la lectura en,0.0,1.0,0.0,0.0,0.22628557682037354,0.007538424339145422,0.04564237594604492,0.7180951237678528,0.10618846118450165,0.006869439035654068,0.04546736180782318,0.004717766772955656,0.00413104984909296,0.006153764668852091,0.10011395066976547,0.003738178638741374,0.03659404441714287,0.1393987238407135,0.36627039313316345,0.0031947919633239508,0.008008469827473164,0.013038923032581806,0.039559535682201385,0.0036128806744321496,0.0013233644898088203,0.0004390733649106283,0.7030003070831299,0.0021224962547421455,0.2864721417427063,0.0027076462283730507,0.00226094713434577,0.0019873883575201035,0.0014490900794044137,13.371818181818181,10.336818181818181,8.779117227272728,38.377727272727284,19.709090909090907,49.27272727272727,16.41640786499874,6.0,20.517699999999998,4.409090909090909,1.7272727272727273,22.0,1.0,0.8636363636363636,97.0,38.0,22.0,19.0,1.0,1.0,6.0,6.0,22.0,neutral,3.0
1553813912520384512,"A big day in the book world is coming up, National Book Lover Day! While it isn't until the 9th, we decided to take… https://t.co/5p9gXLKniO",2022-07-31 18:44:39+00:00,1957570860,1379,3375,4067,2,A big day in the book world is coming up National Book Lover Day While it isn t until the 9th we decided to take,a big day in the book world is coming up national book lover day while it isn t until the th we decided to take,0.0,0.853,0.147,0.5859,0.626554548740387,0.011923648416996002,0.014343662187457085,0.08893762528896332,0.02110198698937893,0.003998384345322847,0.016525765880942345,0.006998315453529358,0.012193914502859116,0.004823322407901287,0.2929423153400421,0.018864279612898827,0.19818100333213806,0.11828521639108658,0.01080769207328558,0.0157336313277483,0.007624005898833275,0.032885707914829254,0.022628460079431534,0.0027778899159833104,0.0013453930626662002,0.0009240751952947635,0.9647589325904846,0.0011252292897552252,0.027121350169181824,0.0018889665370807052,0.002900665160268545,0.0009686683770269156,0.0012360552791506052,6.904,7.460799999999999,3.477586280000004,90.09200000000001,13.200000000000001,33.0,10.745966692414834,2.0,8.034500000000001,3.48,1.08,25.0,1.0,0.88,87.0,27.0,25.0,22.0,1.0,1.0,2.0,2.0,5.0,positive,0.0
1553815007871262721,"RT @FitgersBooks: A big day in the book world is coming up, National Book Lover Day! While it isn't until the 9th, we decided to take the w…",2022-07-31 18:49:01+00:00,244964328,2472,2264,190459,2,A big day in the book world is coming up National Book Lover Day While it isn t until the 9th we decided to take the w,a big day in the book world is coming up national book lover day while it isn t until the th we decided to take the w,0.0,0.858,0.142,0.5859,0.6314306855201721,0.011617783457040787,0.014639691449701786,0.0906272605061531,0.020933590829372406,0.004054259043186903,0.016413753852248192,0.0069556948728859425,0.012314025312662125,0.004782193340361118,0.2910330891609192,0.019581610336899757,0.21596696972846985,0.11836304515600204,0.010918510146439075,0.015134459361433983,0.007524569518864155,0.033204421401023865,0.022892314940690994,0.002769715232084623,0.0014264237145931945,0.0008388265834273357,0.973520815372467,0.0012493032263591886,0.017941545695066452,0.002018888248130679,0.003042757511138916,0.001030649640597403,0.0011960637057200074,6.740000000000002,7.944444444444443,2.9206464074074105,94.83000000000001,13.762962962962963,34.407407407407405,10.745966692414834,2.0,8.484588888888888,3.3703703703703702,1.0,27.0,1.0,0.8518518518518519,91.0,27.0,27.0,23.0,1.0,1.0,2.0,2.0,6.0,positive,0.0
1553834192739475457,"Promote your #book in time!
INTERNATIONAL BOOK LOVERS DAY
When - Tuesday, August 9th
#Readers Across The Globe Will… https://t.co/nHr4UE3hAh",2022-07-31 20:05:15+00:00,2892463432,19407,20270,3626,1,Promote your book in time INTERNATIONAL BOOK LOVERS DAY When Tuesday August 9th Readers Across The Globe Will,promote your book in time international book lovers day when tuesday august th readers across the globe will,0.053157894736842105,0.7637894736842107,0.1830526315789474,0.34716315789473684,0.3440723919162625,0.08336241577604883,0.060620926614654694,0.22601256656803584,0.0805085393306064,0.015669527831242272,0.1156553516262456,0.022124512072064374,0.01346373651176691,0.008841668776432542,0.40606825788946527,0.017515666488754123,0.16057669758600623,0.09098962606175949,0.07745402595518451,0.024373776046559215,0.014638568176642844,0.09482358783287437,0.11791728825406417,0.0025817202708009134,0.00169739647822253,0.0008419656796905433,0.30337929068819475,0.0019034065159135743,0.6729583192224565,0.0016064960907801594,0.015774593369937258,0.0023072226536705307,0.002070671443729416,7.86476206307651,9.068930106313607,9.3104025289708,70.8298548608868,10.50158252889158,35.60586461872496,8.383496145159866,3.1052631578947367,9.52534890768429,4.558941468543508,1.3910369277361898,18.05263157894737,1.0,0.9495788732611355,81.47368421052632,24.842105263157894,18.05263157894737,17.105263157894736,1.0,1.0,3.1052631578947367,1.4210526315789473,5.578947368421052,positive,10.0
1554124603223846912,"RT @GabrielBlake_: Try these spine-chilling books from Gabriel Blake. If you love gripping psychological thrillers, then don't miss out on…",2022-08-01 15:19:14+00:00,893460901470154752,10267,8753,75672,475,Try these spine chilling books from Gabriel Blake If you love gripping psychological thrillers then don t miss out on,try these spine chilling books from gabriel blake if you love gripping psychological thrillers then don t miss out on,0.117,0.652,0.23,0.5574,0.7322230339050293,0.0236513651907444,0.013137205503880978,0.13774758577346802,0.053466811776161194,0.008741846308112144,0.14241555333137512,0.014222907833755016,0.024311017245054245,0.011294600553810596,0.4282175898551941,0.010098814964294434,0.01581019163131714,0.1328369826078415,0.02321581356227398,0.027101954445242882,0.009092616848647594,0.06111349165439606,0.05262432619929314,0.002230950244943729,0.0014922374869735465,0.0011304483615876694,0.8431038856506348,0.0009501200402155519,0.14269764721393585,0.0014741163467988372,0.009228515438735485,0.001146049820818007,0.0013996087945997715,8.140000000000004,11.649000000000001,11.531101900000003,72.32500000000002,10.0,45.0,8.477225575051662,5.0,12.5235,4.9,1.35,20.0,1.0,1.0,98.0,27.0,20.0,20.0,1.0,1.0,5.0,1.0,10.0,positive,0.0
1554200390974980099,"Experiencing the world through Chris Maltby’s lens is an amazing experience!

Get your copy here...… https://t.co/KxcOA7lJlP",2022-08-01 20:20:23+00:00,2892463432,19407,20270,3626,0,Experiencing the world through Chris Maltby s lens is an amazing experience Get your copy here,experiencing the world through chris maltby s lens is an amazing experience get your copy here,0.053157894736842105,0.7637894736842107,0.1830526315789474,0.34716315789473684,0.3440723919162625,0.08336241577604883,0.060620926614654694,0.22601256656803584,0.0805085393306064,0.015669527831242272,0.1156553516262456,0.022124512072064374,0.01346373651176691,0.008841668776432542,0.40606825788946527,0.017515666488754123,0.16057669758600623,0.09098962606175949,0.07745402595518451,0.024373776046559215,0.014638568176642844,0.09482358783287437,0.11791728825406417,0.0025817202708009134,0.00169739647822253,0.0008419656796905433,0.30337929068819475,0.0019034065159135743,0.6729583192224565,0.0016064960907801594,0.015774593369937258,0.0023072226536705307,0.002070671443729416,7.86476206307651,9.068930106313607,9.3104025289708,70.8298548608868,10.50158252889158,35.60586461872496,8.383496145159866,3.1052631578947367,9.52534890768429,4.558941468543508,1.3910369277361898,18.05263157894737,1.0,0.9495788732611355,81.47368421052632,24.842105263157894,18.05263157894737,17.105263157894736,1.0,1.0,3.1052631578947367,1.4210526315789473,5.578947368421052,positive,10.0
1554207259655393288,"Naughty Nata 
by Donna Deal 

⭐️⭐️⭐️⭐️⭐️ RATED!

THIS WILL HAVE YOU HOOKED...

https://t.co/NXtxUXTSXK

#book… https://t.co/RXtAgY31wK",2022-08-01 20:47:41+00:00,2892463432,19407,20270,3626,0,Naughty Nata by Donna Deal RATED THIS WILL HAVE YOU HOOKED book,naughty nata by donna deal rated this will have you hooked book,0.053157894736842105,0.7637894736842107,0.1830526315789474,0.34716315789473684,0.3440723919162625,0.08336241577604883,0.060620926614654694,0.22601256656803584,0.0805085393306064,0.015669527831242272,0.1156553516262456,0.022124512072064374,0.01346373651176691,0.008841668776432542,0.40606825788946527,0.017515666488754123,0.16057669758600623,0.09098962606175949,0.07745402595518451,0.024373776046559215,0.014638568176642844,0.09482358783287437,0.11791728825406417,0.0025817202708009134,0.00169739647822253,0.0008419656796905433,0.30337929068819475,0.0019034065159135743,0.6729583192224565,0.0016064960907801594,0.015774593369937258,0.0023072226536705307,0.002070671443729416,7.86476206307651,9.068930106313607,9.3104025289708,70.8298548608868,10.50158252889158,35.60586461872496,8.383496145159866,3.1052631578947367,9.52534890768429,4.558941468543508,1.3910369277361898,18.05263157894737,1.0,0.9495788732611355,81.47368421052632,24.842105263157894,18.05263157894737,17.105263157894736,1.0,1.0,3.1052631578947367,1.4210526315789473,5.578947368421052,positive,10.0
1554332322027405312,RT @kingsenglishdpt: As it is #BookLoversDay it is quite appropriate we added two more book reviews to the blog this morning ☺️📚 https://t.…,2022-08-02 05:04:38+00:00,2744039040,768,5002,185474,1,As it is BookLoversDay it is quite appropriate we added two more book reviews to the blog this morning,as it is bookloversday it is quite appropriate we added two more book reviews to the blog this morning,0.0,1.0,0.0,0.0,0.5289638638496399,0.03058849647641182,0.012008906342089176,0.25400349497795105,0.03273826465010643,0.007286945823580027,0.017693359404802322,0.007205836940556765,0.024506794288754463,0.005349818617105484,0.4270586371421814,0.008180470205843449,0.03419196233153343,0.1890053153038025,0.02144477516412735,0.016066916286945343,0.006193970795720816,0.0831446573138237,0.04326445236802101,0.002690281332711807,0.001367755980327867,0.0009487477929414768,0.44905734062194824,0.0018662457587197423,0.5369610786437988,0.0015432132640853524,0.0072982944548130035,0.0013715645764023066,0.0019022630294784904,7.967368421052633,8.893157894736845,8.637101473684211,71.78157894736843,11.810526315789474,40.05263157894737,10.745966692414834,4.0,8.734163157894738,4.421052631578948,1.368421052631579,19.0,1.0,0.8947368421052632,84.0,26.0,19.0,17.0,1.0,1.0,4.0,2.0,5.0,neutral,0.0
