,hashtag,retweeter,UsM_deltaDays,UsM_statusesCount,UsM_followersCount,UsM_favouritesCount,UsM_listedCount,UsM_friendscCount,UsM_normalizedUserStatusesCount,UsM_normalizedUserFollowersCount,UsM_normalizedUserFavouritesCount,UsM_normalizedUserListedCount,UsM_normalizedUserFriendsCount,is_verified,is_default,has_url,tweets_num,retweet_num,reply_num,norm_tweets,norm_retweet,norm_reply,is_followed,interaction,frequency,r_interaction,r_frequency
1195757010723184640,#EnoughIsEnough,48959540,1006,18861,3253,48217,2,3544,18.74850894632207,3.2335984095427435,47.929423459244525,0.0019880715705765406,3.5228628230616303,0,1,0,2.0,557.0,441.0,0.15384615384615385,42.84615384615385,33.92307692307692,1.0,0.0,0.0,0.0,0.0
1159881870,#CostOfLivingCrisis,1051124876315152384,3478,80450,3788,71374,5,3936,23.131109833237492,1.0891316848763657,20.5215641173088,0.0014376078205865438,1.1316848763657277,0,1,1,3.0,929.0,68.0,0.3333333333333333,103.22222222222223,7.555555555555555,1.0,0.0,0.0,1.0,0.03333333333333333
930520648245497856,#GetBackToWorkYouFatPonce,1272622039220629504,1738,218844,8980,197616,14,9849,125.91714614499423,5.1668584579977,113.70310701956272,0.00805523590333717,5.666858457997699,0,1,0,13.0,987.0,0.0,2.6,197.4,0.0,1.0,0.0,0.0,0.0,0.0
303324434,#GetBackToWorkYouFatPonce,2912306735,4106,384372,27600,99057,230,30360,93.61227471992208,6.721870433511933,24.124939113492452,0.05601558694593278,7.394057476863128,0,0,1,143.0,825.0,32.0,9.533333333333333,55.0,2.1333333333333333,1.0,0.0,0.0,231.0,0.11555777888944473
345462945,#EnoughIsEnough,1072373029517316096,4037,112452,3925,89326,29,5001,27.855338122368092,0.97225662620758,22.12682685162249,0.007183552142680208,1.2387911815704729,0,1,0,8.0,990.0,2.0,0.8888888888888888,110.0,0.2222222222222222,1.0,0.0,0.0,0.0,0.0
1147649644492730373,#EnoughIsEnough,930520648245497856,1138,55895,292,81338,6,314,49.11687170474517,0.2565905096660808,71.47451669595782,0.005272407732864675,0.2759226713532513,0,1,1,0.0,960.0,40.0,0.0,192.0,8.0,0.0,0.0,0.0,0.0,0.0
1420351245819207681,#EnoughIsEnough,1556317842160717825,386,49833,6234,46076,4,6456,129.10103626943004,16.15025906735751,119.3678756476684,0.010362694300518135,16.72538860103627,0,1,0,15.0,308.0,677.0,3.75,77.0,169.25,1.0,0.0,0.0,1.0,0.0625
1190933596921638912,#CostOfLivingCrisis,1318942066517344258,1019,187662,20074,174188,41,8576,184.16290480863591,19.699705593719333,170.94013738959762,0.040235525024533855,8.416094210009812,0,0,0,40.0,909.0,51.0,6.666666666666667,151.5,8.5,1.0,0.0,0.0,14.0,0.5
219266194,#EnoughIsEnough,406583979,4285,140141,22286,228629,58,7194,32.705017502917144,5.200933488914818,53.3556592765461,0.01353558926487748,1.6788798133022171,0,1,0,7.0,936.0,57.0,0.5,66.85714285714286,4.071428571428571,1.0,0.0,0.0,0.0,0.0
24403686,#EnoughIsEnough,24439373,4905,33441,2380,681,46,2228,6.817737003058103,0.4852191641182466,0.13883792048929666,0.009378185524974516,0.45423037716615705,0,0,0,317.0,535.0,148.0,2.6416666666666666,4.458333333333333,1.2333333333333334,1.0,0.0,0.0,0.0,0.0
1542616732556304386,#EnoughIsEnough,786532824476180480,49,9651,845,5746,0,344,196.9591836734694,17.244897959183675,117.26530612244898,0.0,7.020408163265307,0,1,0,98.0,630.0,272.0,6.533333333333333,42.0,18.133333333333333,0.0,0.0,0.0,2.0,0.013245033112582781
1455990635111059456,#EnoughIsEnough,1199779543533473792,288,7211,28,7738,0,68,25.038194444444446,0.09722222222222222,26.868055555555557,0.0,0.2361111111111111,0,1,0,9.0,898.0,93.0,0.1836734693877551,18.3265306122449,1.8979591836734695,1.0,2.0,0.04081632653061224,0.0,0.0
103989424,#EnoughIsEnough,2231119999,4601,85630,1358,229650,12,1396,18.6111714844599,0.29515322755922624,49.91306237774397,0.002608128667680939,0.3034123016735492,0,0,0,2.0,973.0,25.0,0.25,121.625,3.125,1.0,2.0,0.25,95.0,2.111111111111111
1199779543533473792,#EnoughIsEnough,1210180533050904577,995,34259,29611,70383,14,19034,34.431155778894464,29.75979899497488,70.73668341708544,0.01407035175879397,19.12964824120603,0,1,0,65.0,517.0,418.0,1.8571428571428572,14.771428571428572,11.942857142857143,1.0,0.0,0.0,0.0,0.0
527674798,#EnoughIsEnough,31495720,3806,83729,7892,160758,15,7373,21.99921177088807,2.073568050446663,42.23804519180242,0.003941145559642669,1.937204414083027,0,1,0,1.0,857.0,142.0,0.1111111111111111,95.22222222222223,15.777777777777779,1.0,0.0,0.0,0.0,0.0
1284939407494205443,#EnoughIsEnough,1346523672413151232,760,85169,26870,173254,10,22070,112.06447368421051,35.35526315789474,227.9657894736842,0.013157894736842105,29.03947368421053,0,1,0,33.0,321.0,646.0,1.0,9.727272727272727,19.575757575757574,1.0,0.0,0.0,21.0,1.105263157894737
1242670502084333568,#EnoughIsEnough,1361330856980283393,876,85821,6502,332314,12,7152,97.96917808219177,7.422374429223743,379.3538812785389,0.0136986301369863,8.164383561643836,0,1,0,30.0,709.0,261.0,3.0,70.9,26.1,1.0,0.0,0.0,6.0,0.08571428571428572
2272185878,#EnoughIsEnough,1346072194800111619,3150,132483,7565,482008,4,8209,42.05809523809524,2.401587301587301,153.01841269841267,0.0012698412698412696,2.606031746031746,0,1,0,17.0,772.0,211.0,1.5454545454545454,70.18181818181819,19.181818181818183,1.0,0.0,0.0,4.0,0.009685230024213076
1369663701364727812,#EnoughIsEnough,419181798,526,3892,2354,16364,0,2749,7.399239543726237,4.475285171102661,31.110266159695822,0.0,5.226235741444867,0,1,0,66.0,919.0,15.0,11.0,153.16666666666666,2.5,1.0,0.0,0.0,0.0,0.0
1264895977,#EnoughIsEnough,1110496716,3445,1009,931,4958,3,1197,0.2928882438316401,0.27024673439767777,1.4391872278664732,0.0008708272859216256,0.3474600870827286,0,1,0,65.0,243.0,82.0,0.02946509519492294,0.11015412511332728,0.0371713508612874,1.0,0.0,0.0,0.0,0.0
1420624771948204033,#EnoughIsEnough,316033600,385,7861,1319,12877,1,1831,20.418181818181818,3.425974025974026,33.44675324675325,0.002597402597402597,4.755844155844156,0,1,0,59.0,786.0,155.0,0.8805970149253731,11.73134328358209,2.3134328358208953,1.0,0.0,0.0,0.0,0.0
1537126115348733958,#EnoughIsEnough,2725063516,64,1328,101666,1317,56,0,20.75,1588.53125,20.578125,0.875,0.0,0,1,1,95.0,551.0,354.0,2.7142857142857144,15.742857142857142,10.114285714285714,0.0,0.0,0.0,0.0,0.0
1366698929627217923,#EnoughIsEnough,1546418689498615810,534,42010,960,37556,0,2029,78.67041198501873,1.7977528089887642,70.32958801498127,0.0,3.799625468164794,0,1,0,17.0,895.0,88.0,3.4,179.0,17.6,1.0,1.0,0.2,0.0,0.0
1483137773251051520,#EnoughIsEnough,855468534587174916,213,11773,564,18165,0,598,55.27230046948357,2.647887323943662,85.28169014084506,0.0,2.807511737089202,0,1,0,95.0,847.0,58.0,5.588235294117647,49.8235294117647,3.411764705882353,1.0,0.0,0.0,0.0,0.0
4839074315,#EnoughIsEnough,3049107955,2399,102877,735,90585,0,862,42.88328470195915,0.30637765735723216,37.75948311796582,0.0,0.3593163818257608,0,1,0,1.0,997.0,2.0,0.1111111111111111,110.77777777777777,0.2222222222222222,1.0,0.0,0.0,0.0,0.0
420351613,#EnoughIsEnough,2955152933,3920,897934,5087,238977,438,3804,229.0647959183673,1.297704081632653,60.96352040816326,0.111734693877551,0.970408163265306,0,0,1,0.0,978.0,22.0,0.0,489.0,11.0,1.0,0.0,0.0,0.0,0.0
32187977,#EnoughIsEnough,1195446685,4871,8179,641,11384,16,1212,1.6791213303223158,0.1315951549989735,2.3370971053171834,0.0032847464586327237,0.24881954424142885,0,1,0,73.0,573.0,354.0,0.1273996509598604,1.0,0.6178010471204188,0.0,0.0,0.0,0.0,0.0
153886132,#EnoughIsEnough,822832719390507009,4453,42056,2403,30772,2,1476,9.444419492476982,0.5396362003143947,6.9103974848416785,0.00044913541432741973,0.3314619357736357,0,0,0,1.0,289.0,710.0,0.041666666666666664,12.041666666666666,29.583333333333332,0.0,0.0,0.0,0.0,0.0
25873465,#EnoughIsEnough,1119974425,4897,63980,2838,97829,8,3121,13.065141923626712,0.5795384929548704,19.977333061057788,0.0016336532570961813,0.6373289769246477,0,1,0,36.0,564.0,400.0,0.5294117647058824,8.294117647058824,5.882352941176471,1.0,0.0,0.0,1.0,0.006289308176100629
23254726,#EnoughIsEnough,748951607233118208,4911,204247,6574,169138,49,5716,41.58969659947058,1.3386275707595194,34.4406434534718,0.009977601303196904,1.1639177356953778,0,0,0,8.0,884.0,108.0,4.0,442.0,54.0,1.0,0.0,0.0,0.0,0.0
424321361,#EnoughIsEnough,239560078,3915,33402,673,189313,9,639,8.531800766283522,0.1719029374201788,48.35581098339719,0.002298850574712644,0.1632183908045977,0,1,0,0.0,978.0,22.0,0.0,27.942857142857143,0.6285714285714286,0.0,0.0,0.0,0.0,0.0
21480744,#EnoughIsEnough,1224413731335086080,4926,10851,1502,3864,23,1330,2.2028014616321556,0.30491270807957777,0.784409257003654,0.004669102720259845,0.26999593991067805,0,1,1,646.0,26.0,328.0,0.8934993084370678,0.035961272475795295,0.4536652835408022,1.0,0.0,0.0,0.0,0.0
1353419736311189504,#EnoughIsEnough,966443568406593537,571,227,393,201,2,298,0.3975481611208406,0.6882661996497373,0.3520140105078809,0.003502626970227671,0.521891418563923,0,1,1,63.0,125.0,40.0,0.10956521739130434,0.21739130434782608,0.06956521739130435,1.0,0.0,0.0,2.0,0.001224739742804654
247336512,#EnoughIsEnough,69504390,4213,43013,8390,6595,98,4886,10.20958936624733,1.991455020175647,1.5653928317113697,0.023261333966294803,1.1597436506052694,0,0,1,63.0,857.0,80.0,1.1666666666666667,15.87037037037037,1.4814814814814814,0.0,0.0,0.0,0.0,0.0
715850854943866881,#EnoughIsEnough,1320306297384980481,2330,374079,7195,568445,6,7283,160.5489270386266,3.0879828326180263,243.9678111587983,0.002575107296137339,3.1257510729613736,0,1,0,0.0,997.0,3.0,0.0,199.4,0.6,1.0,0.0,0.0,0.0,0.0
799128445,#EnoughIsEnough,830186741017481216,3637,28056,5624,57363,2,6144,7.714050041242782,1.5463293923563377,15.772064888644488,0.0005499037668408028,1.6893043717349463,0,1,0,25.0,423.0,552.0,1.0869565217391304,18.391304347826086,24.0,0.0,0.0,0.0,0.0,0.0
3979266862,#EnoughIsEnough,1080207836,2497,9417,2120,13274,0,1849,3.7713255907088503,0.8490188225871045,5.315979175010011,0.0,0.7404885863035643,0,1,0,134.0,572.0,294.0,0.4227129337539432,1.804416403785489,0.9274447949526814,1.0,0.0,0.0,0.0,0.0
86548072,#EnoughIsEnough,19439615,4674,5221,1131,15939,5,1312,1.117030380830124,0.24197689345314505,3.410141206675225,0.001069747539580659,0.2807017543859649,0,1,1,169.0,216.0,615.0,0.9234972677595629,1.180327868852459,3.360655737704918,1.0,4.0,0.02185792349726776,2.0,0.08695652173913043
349869299,#EnoughIsEnough,1438141183,4030,113931,5952,168144,6,6547,28.27071960297767,1.4769230769230768,41.72307692307693,0.001488833746898263,1.6245657568238214,0,1,0,2.0,741.0,257.0,0.2857142857142857,105.85714285714286,36.714285714285715,1.0,0.0,0.0,0.0,0.0
413123301,#EnoughIsEnough,2276527577,3929,176889,3927,114423,27,4421,45.02137948587427,0.9994909646220412,29.122677526088058,0.00687197760244337,1.125222702977857,0,0,0,23.0,857.0,120.0,3.8333333333333335,142.83333333333334,20.0,1.0,0.0,0.0,9.0,0.020134228187919462
929974628,#EnoughIsEnough,46583723,3572,241063,1773,273842,6,2042,67.48684210526315,0.4963605823068309,76.66349384098544,0.0016797312430011195,0.5716685330347144,0,1,0,1.0,846.0,153.0,0.3333333333333333,282.0,51.0,1.0,0.0,0.0,0.0,0.0
1256209840290115584,#EnoughIsEnough,765494949886488578,839,10054,250,31562,0,1062,11.983313468414778,0.2979737783075089,37.61859356376639,0.0,1.265792610250298,0,1,0,1.0,946.0,53.0,0.0196078431372549,18.54901960784314,1.0392156862745099,1.0,1.0,0.0196078431372549,0.0,0.0
1296992801624915968,#EnoughIsEnough,1690129958,726,7964,934,33013,0,361,10.969696969696967,1.2865013774104683,45.47245179063361,0.0,0.4972451790633609,0,1,0,3.0,787.0,210.0,0.0234375,6.1484375,1.640625,1.0,0.0,0.0,5.0,0.03731343283582089
1126877334450200577,#EnoughIsEnough,925480700874240000,1196,104622,15303,236837,40,12614,87.47658862876256,12.79515050167224,198.0242474916388,0.033444816053511704,10.546822742474916,0,0,1,59.0,408.0,533.0,5.363636363636363,37.09090909090909,48.45454545454545,0.0,0.0,0.0,1.0,0.006289308176100629
22133128,#EnoughIsEnough,383719115,4920,108645,6281,32633,20,6901,22.082317073170728,1.2766260162601626,6.632723577235772,0.0040650406504065045,1.4026422764227642,0,0,0,71.0,733.0,196.0,7.888888888888889,81.44444444444444,21.77777777777778,1.0,0.0,0.0,0.0,0.0
3019002351,#EnoughIsEnough,4872387941,2751,19304,850,41911,3,920,7.01708469647401,0.30897855325336243,15.234823700472555,0.0010905125408942203,0.3344238458742276,0,1,0,24.0,915.0,61.0,0.24742268041237114,9.43298969072165,0.6288659793814433,1.0,0.0,0.0,0.0,0.0
43015524,#CostOfLivingCrisis,1368056846,4830,201758,3409,614886,89,2493,41.77184265010352,0.7057971014492753,127.3055900621118,0.018426501035196687,0.5161490683229814,0,0,1,7.0,979.0,14.0,0.6363636363636364,89.0,1.2727272727272727,0.0,0.0,0.0,0.0,0.0
1081484761934319623,#GetBackToWorkYouFatPonce,1173875097234477056,1321,415139,7899,546256,13,8165,314.2611657834973,5.979560938682816,413.5170325510977,0.00984102952308857,6.1809235427706275,0,1,0,6.0,910.0,84.0,3.0,455.0,42.0,1.0,0.0,0.0,3.0,0.026785714285714284
727385565000269826,#EnoughIsEnough,1461518160,2298,11330,1000,18050,0,1145,4.930374238468233,0.4351610095735422,7.854656222802437,0.0,0.4982593559617058,0,1,0,7.0,944.0,49.0,0.032407407407407406,4.37037037037037,0.22685185185185186,1.0,18.0,0.08333333333333333,10.0,0.007698229407236336
790287205,#EnoughIsEnough,908025525570084864,3640,397475,18745,861093,39,19897,109.19642857142857,5.1497252747252755,236.564010989011,0.010714285714285714,5.466208791208791,0,0,0,4.0,949.0,47.0,0.8,189.8,9.4,1.0,0.0,0.0,1.0,0.05555555555555555
