,hashtag,UsM_deltaDays,UsM_statusesCount,UsM_followersCount,UsM_favouritesCount,UsM_listedCount,UsM_friendscCount,UsM_normalizedUserStatusesCount,UsM_normalizedUserFollowersCount,UsM_normalizedUserFavouritesCount,UsM_normalizedUserListedCount,UsM_normalizedUserFriendsCount,is_verified,is_default,has_url,tweets_num,retweet_num,reply_num,norm_tweets,norm_retweet,norm_reply
527674798,#EnoughIsEnough,3806,83730,7892,160758,15,7373,21.99947451392538,2.073568050446663,42.23804519180242,0.003941145559642669,1.937204414083027,0,1,0,0.0,877.0,123.0,0.0,97.44444444444444,13.666666666666666
103989424,#EnoughIsEnough,4601,85629,1358,229650,12,1395,18.610954140404264,0.29515322755922624,49.91306237774397,0.002608128667680939,0.3031949576179092,0,0,0,2.0,971.0,27.0,0.2222222222222222,107.88888888888889,3.0
345462945,#EnoughIsEnough,4037,112442,3925,89315,29,5001,27.852861035422343,0.97225662620758,22.124102055982167,0.007183552142680208,1.2387911815704729,0,1,0,17.0,981.0,2.0,1.4166666666666667,81.75,0.16666666666666666
1542616732556304386,#EnoughIsEnough,48,9651,846,5746,0,344,201.0625,17.625,119.70833333333331,0.0,7.166666666666668,0,1,0,87.0,629.0,284.0,7.25,52.416666666666664,23.666666666666668
964288058,#EnoughIsEnough,3556,6057,1206,13009,5,2207,1.7033183352080992,0.3391451068616423,3.6583239595050623,0.00140607424071991,0.6206411698537683,0,0,0,29.0,811.0,160.0,0.034360189573459717,0.9609004739336493,0.1895734597156398
930520648245497856,#EnergyPrices,1738,218844,8981,197616,14,9849,125.91714614499423,5.1674338319907935,113.70310701956272,0.00805523590333717,5.666858457997699,0,1,0,22.0,977.0,1.0,4.4,195.4,0.2
1556317842160717825,#EnoughIsEnough,11,981,756,2514,0,1583,89.18181818181819,68.72727272727273,228.54545454545453,0.0,143.9090909090909,0,1,0,0.0,944.0,56.0,0.0,94.4,5.6
929974628,#CostOfLivingCrisis,3572,241063,1773,273842,6,2042,67.48684210526315,0.4963605823068309,76.66349384098544,0.0016797312430011195,0.5716685330347144,0,1,0,1.0,845.0,154.0,0.5,422.5,77.0
1420624771948204033,#EnergyPrices,385,7861,1319,12877,1,1831,20.418181818181818,3.425974025974026,33.44675324675325,0.002597402597402597,4.755844155844156,0,1,0,59.0,784.0,157.0,0.9076923076923077,12.061538461538461,2.4153846153846152
1483137773251051520,#EnoughIsEnough,213,11773,564,18165,0,598,55.27230046948357,2.647887323943662,85.28169014084506,0.0,2.807511737089202,0,1,0,100.0,843.0,57.0,4.545454545454546,38.31818181818182,2.590909090909091
1497274864457109504,#EnoughIsEnough,174,5042,229,5949,0,230,28.977011494252878,1.3160919540229885,34.1896551724138,0.0,1.3218390804597702,0,1,0,40.0,527.0,433.0,1.4814814814814814,19.51851851851852,16.037037037037038
43015524,#CostOfLivingCrisis,4830,201749,3409,614840,89,2493,41.76997929606625,0.7057971014492753,127.296066252588,0.018426501035196687,0.5161490683229814,0,0,1,9.0,982.0,9.0,0.9,98.2,0.9
24439373,#CostOfLivingCrisis,4904,204837,3158,228570,106,4999,41.76937194127243,0.6439641109298532,46.60889070146819,0.02161500815660685,1.0193719412724307,0,0,0,17.0,810.0,173.0,5.666666666666667,270.0,57.666666666666664
1366698929627217923,#EnoughIsEnough,534,41995,959,37541,0,2029,78.64232209737828,1.795880149812734,70.30149812734082,0.0,3.799625468164794,0,1,0,3.0,919.0,78.0,0.75,229.75,19.5
1199779543533473792,#EnoughIsEnough,995,34259,29609,70383,14,19034,34.431155778894464,29.757788944723615,70.73668341708544,0.01407035175879397,19.12964824120603,0,1,0,70.0,494.0,436.0,2.0588235294117645,14.529411764705882,12.823529411764707
219266194,#EnergyPrices,4285,140140,22286,228628,58,7194,32.704784130688445,5.200933488914818,53.35542590431738,0.01353558926487748,1.6788798133022171,0,1,0,10.0,929.0,61.0,0.7692307692307693,71.46153846153847,4.6923076923076925
1159881870,#CostOfLivingCrisis,3478,80450,3788,71374,5,3936,23.131109833237492,1.0891316848763657,20.5215641173088,0.0014376078205865438,1.1316848763657277,0,1,1,3.0,938.0,59.0,0.3333333333333333,104.22222222222223,6.555555555555555
100454091,#EnoughIsEnough,4614,121468,1650,87771,5,2112,26.32596445600347,0.3576072821846554,19.022756827048113,0.001083658430862592,0.4577373211963589,0,1,0,1.0,938.0,61.0,0.5,469.0,30.5
247456008,#EnoughIsEnough,4212,15703,897,132600,1,1611,3.728157644824312,0.21296296296296294,31.48148148148148,0.0002374169040835708,0.3824786324786325,0,1,0,2.0,838.0,160.0,0.13333333333333333,55.86666666666667,10.666666666666666
547061313,#CostOfLivingCrisis,3786,1429,1846,4695,2,3193,0.3774432118330692,0.4875858425779186,1.2400950871632328,0.0005282620179609086,0.8433703116745906,0,1,0,317.0,405.0,278.0,0.3202020202020202,0.4090909090909091,0.2808080808080808
163603505,#EnoughIsEnough,4425,101861,1728,65314,125,2222,23.01943502824859,0.3905084745762712,14.760225988700563,0.02824858757062147,0.5021468926553673,0,1,1,31.0,829.0,140.0,2.2142857142857144,59.214285714285715,10.0
799128445,#EnoughIsEnough,3636,28056,5624,57363,2,6144,7.716171617161716,1.5467546754675467,15.776402640264024,0.00055005500550055,1.6897689768976898,0,1,0,24.0,399.0,577.0,1.0909090909090908,18.136363636363637,26.227272727272727
167880395,#EnoughIsEnough,4415,262460,3610,171048,5,3266,59.44733861834655,0.8176670441676104,38.742468856172145,0.0011325028312570782,0.7397508493771234,0,1,1,1.0,878.0,121.0,0.16666666666666666,146.33333333333334,20.166666666666668
